lang,algo,family,instance,n,m,opt,k,time_ms,nodes,timed_out,replica
python,brute,random,random_n10_m10_s0,10,10,NA,7,0.205,704,0,1
cpp,brute,random,random_n10_m10_s0,10,10,NA,7,0.004,704,0,1
java,brute,random,random_n10_m10_s0,10,10,NA,7,3.287,704,0,1
python,brute,random,random_n10_m10_s0,10,10,NA,7,0.221,704,0,2
cpp,brute,random,random_n10_m10_s0,10,10,NA,7,0.005,704,0,2
java,brute,random,random_n10_m10_s0,10,10,NA,7,3.306,704,0,2
python,brute,random,random_n10_m10_s0,10,10,NA,7,0.218,704,0,3
cpp,brute,random,random_n10_m10_s0,10,10,NA,7,0.004,704,0,3
java,brute,random,random_n10_m10_s0,10,10,NA,7,3.270,704,0,3
python,smart,random,random_n10_m10_s0,10,10,NA,7,0.215,24,0,1
cpp,smart,random,random_n10_m10_s0,10,10,NA,7,0.008,24,0,1
java,smart,random,random_n10_m10_s0,10,10,NA,7,3.302,24,0,1
python,smart,random,random_n10_m10_s0,10,10,NA,7,0.214,24,0,2
cpp,smart,random,random_n10_m10_s0,10,10,NA,7,0.008,24,0,2
java,smart,random,random_n10_m10_s0,10,10,NA,7,3.304,24,0,2
python,smart,random,random_n10_m10_s0,10,10,NA,7,0.207,24,0,3
cpp,smart,random,random_n10_m10_s0,10,10,NA,7,0.008,24,0,3
java,smart,random,random_n10_m10_s0,10,10,NA,7,3.410,24,0,3
python,brute,random,random_n10_m10_s1,10,10,NA,5,0.098,303,0,1
cpp,brute,random,random_n10_m10_s1,10,10,NA,5,0.003,303,0,1
java,brute,random,random_n10_m10_s1,10,10,NA,5,3.061,303,0,1
python,brute,random,random_n10_m10_s1,10,10,NA,5,0.096,303,0,2
cpp,brute,random,random_n10_m10_s1,10,10,NA,5,0.003,303,0,2
java,brute,random,random_n10_m10_s1,10,10,NA,5,3.230,303,0,2
python,brute,random,random_n10_m10_s1,10,10,NA,5,0.109,303,0,3
cpp,brute,random,random_n10_m10_s1,10,10,NA,5,0.003,303,0,3
java,brute,random,random_n10_m10_s1,10,10,NA,5,3.196,303,0,3
python,smart,random,random_n10_m10_s1,10,10,NA,5,0.258,26,0,1
cpp,smart,random,random_n10_m10_s1,10,10,NA,5,0.009,26,0,1
java,smart,random,random_n10_m10_s1,10,10,NA,5,3.374,26,0,1
python,smart,random,random_n10_m10_s1,10,10,NA,5,0.253,26,0,2
cpp,smart,random,random_n10_m10_s1,10,10,NA,5,0.009,26,0,2
java,smart,random,random_n10_m10_s1,10,10,NA,5,3.365,26,0,2
python,smart,random,random_n10_m10_s1,10,10,NA,5,0.359,26,0,3
cpp,smart,random,random_n10_m10_s1,10,10,NA,5,0.009,26,0,3
java,smart,random,random_n10_m10_s1,10,10,NA,5,3.328,26,0,3
python,brute,random,random_n10_m10_s2,10,10,NA,4,0.096,287,0,1
cpp,brute,random,random_n10_m10_s2,10,10,NA,4,0.003,287,0,1
java,brute,random,random_n10_m10_s2,10,10,NA,4,3.103,287,0,1
python,brute,random,random_n10_m10_s2,10,10,NA,4,0.099,287,0,2
cpp,brute,random,random_n10_m10_s2,10,10,NA,4,0.003,287,0,2
java,brute,random,random_n10_m10_s2,10,10,NA,4,3.079,287,0,2
python,brute,random,random_n10_m10_s2,10,10,NA,4,0.101,287,0,3
cpp,brute,random,random_n10_m10_s2,10,10,NA,4,0.003,287,0,3
java,brute,random,random_n10_m10_s2,10,10,NA,4,3.121,287,0,3
python,smart,random,random_n10_m10_s2,10,10,NA,4,0.269,27,0,1
cpp,smart,random,random_n10_m10_s2,10,10,NA,4,0.010,27,0,1
java,smart,random,random_n10_m10_s2,10,10,NA,4,3.394,27,0,1
python,smart,random,random_n10_m10_s2,10,10,NA,4,0.278,27,0,2
cpp,smart,random,random_n10_m10_s2,10,10,NA,4,0.009,27,0,2
java,smart,random,random_n10_m10_s2,10,10,NA,4,3.353,27,0,2
python,smart,random,random_n10_m10_s2,10,10,NA,4,0.269,27,0,3
cpp,smart,random,random_n10_m10_s2,10,10,NA,4,0.009,27,0,3
java,smart,random,random_n10_m10_s2,10,10,NA,4,3.365,27,0,3
python,brute,random,random_n10_m10_s3,10,10,NA,6,0.144,465,0,1
cpp,brute,random,random_n10_m10_s3,10,10,NA,6,0.004,465,0,1
java,brute,random,random_n10_m10_s3,10,10,NA,6,3.271,465,0,1
python,brute,random,random_n10_m10_s3,10,10,NA,6,0.150,465,0,2
cpp,brute,random,random_n10_m10_s3,10,10,NA,6,0.004,465,0,2
java,brute,random,random_n10_m10_s3,10,10,NA,6,3.248,465,0,2
python,brute,random,random_n10_m10_s3,10,10,NA,6,0.150,465,0,3
cpp,brute,random,random_n10_m10_s3,10,10,NA,6,0.004,465,0,3
java,brute,random,random_n10_m10_s3,10,10,NA,6,3.230,465,0,3
python,smart,random,random_n10_m10_s3,10,10,NA,6,0.317,41,0,1
cpp,smart,random,random_n10_m10_s3,10,10,NA,6,0.011,41,0,1
java,smart,random,random_n10_m10_s3,10,10,NA,6,3.416,41,0,1
python,smart,random,random_n10_m10_s3,10,10,NA,6,0.320,41,0,2
cpp,smart,random,random_n10_m10_s3,10,10,NA,6,0.011,41,0,2
java,smart,random,random_n10_m10_s3,10,10,NA,6,3.418,41,0,2
python,smart,random,random_n10_m10_s3,10,10,NA,6,0.315,41,0,3
cpp,smart,random,random_n10_m10_s3,10,10,NA,6,0.012,41,0,3
java,smart,random,random_n10_m10_s3,10,10,NA,6,3.403,41,0,3
python,brute,random,random_n10_m10_s4,10,10,NA,5,0.112,399,0,1
cpp,brute,random,random_n10_m10_s4,10,10,NA,5,0.003,399,0,1
java,brute,random,random_n10_m10_s4,10,10,NA,5,3.149,399,0,1
python,brute,random,random_n10_m10_s4,10,10,NA,5,0.112,399,0,2
cpp,brute,random,random_n10_m10_s4,10,10,NA,5,0.003,399,0,2
java,brute,random,random_n10_m10_s4,10,10,NA,5,3.118,399,0,2
python,brute,random,random_n10_m10_s4,10,10,NA,5,0.120,399,0,3
cpp,brute,random,random_n10_m10_s4,10,10,NA,5,0.003,399,0,3
java,brute,random,random_n10_m10_s4,10,10,NA,5,3.180,399,0,3
python,smart,random,random_n10_m10_s4,10,10,NA,5,0.246,26,0,1
cpp,smart,random,random_n10_m10_s4,10,10,NA,5,0.009,26,0,1
java,smart,random,random_n10_m10_s4,10,10,NA,5,3.361,26,0,1
python,smart,random,random_n10_m10_s4,10,10,NA,5,0.247,26,0,2
cpp,smart,random,random_n10_m10_s4,10,10,NA,5,0.008,26,0,2
java,smart,random,random_n10_m10_s4,10,10,NA,5,3.407,26,0,2
python,smart,random,random_n10_m10_s4,10,10,NA,5,0.252,26,0,3
cpp,smart,random,random_n10_m10_s4,10,10,NA,5,0.008,26,0,3
java,smart,random,random_n10_m10_s4,10,10,NA,5,3.347,26,0,3
python,brute,random,random_n10_m20_s0,10,20,NA,8,2.350,11289,0,1
cpp,brute,random,random_n10_m20_s0,10,20,NA,8,0.048,11289,0,1
java,brute,random,random_n10_m20_s0,10,20,NA,8,4.156,11289,0,1
python,brute,random,random_n10_m20_s0,10,20,NA,8,2.377,11289,0,2
cpp,brute,random,random_n10_m20_s0,10,20,NA,8,0.048,11289,0,2
java,brute,random,random_n10_m20_s0,10,20,NA,8,4.118,11289,0,2
python,brute,random,random_n10_m20_s0,10,20,NA,8,2.373,11289,0,3
cpp,brute,random,random_n10_m20_s0,10,20,NA,8,0.056,11289,0,3
java,brute,random,random_n10_m20_s0,10,20,NA,8,4.063,11289,0,3
python,smart,random,random_n10_m20_s0,10,20,NA,8,0.232,23,0,1
cpp,smart,random,random_n10_m20_s0,10,20,NA,8,0.011,23,0,1
java,smart,random,random_n10_m20_s0,10,20,NA,8,3.323,23,0,1
python,smart,random,random_n10_m20_s0,10,20,NA,8,0.236,23,0,2
cpp,smart,random,random_n10_m20_s0,10,20,NA,8,0.009,23,0,2
java,smart,random,random_n10_m20_s0,10,20,NA,8,3.296,23,0,2
python,smart,random,random_n10_m20_s0,10,20,NA,8,0.229,23,0,3
cpp,smart,random,random_n10_m20_s0,10,20,NA,8,0.010,23,0,3
java,smart,random,random_n10_m20_s0,10,20,NA,8,3.312,23,0,3
python,brute,random,random_n10_m20_s1,10,20,NA,7,1.697,6804,0,1
cpp,brute,random,random_n10_m20_s1,10,20,NA,7,0.030,6804,0,1
java,brute,random,random_n10_m20_s1,10,20,NA,7,4.093,6804,0,1
python,brute,random,random_n10_m20_s1,10,20,NA,7,1.714,6804,0,2
cpp,brute,random,random_n10_m20_s1,10,20,NA,7,0.030,6804,0,2
java,brute,random,random_n10_m20_s1,10,20,NA,7,4.019,6804,0,2
python,brute,random,random_n10_m20_s1,10,20,NA,7,1.850,6804,0,3
cpp,brute,random,random_n10_m20_s1,10,20,NA,7,0.031,6804,0,3
java,brute,random,random_n10_m20_s1,10,20,NA,7,4.112,6804,0,3
python,smart,random,random_n10_m20_s1,10,20,NA,7,0.424,48,0,1
cpp,smart,random,random_n10_m20_s1,10,20,NA,7,0.014,48,0,1
java,smart,random,random_n10_m20_s1,10,20,NA,7,3.463,48,0,1
python,smart,random,random_n10_m20_s1,10,20,NA,7,0.430,48,0,2
cpp,smart,random,random_n10_m20_s1,10,20,NA,7,0.014,48,0,2
java,smart,random,random_n10_m20_s1,10,20,NA,7,3.414,48,0,2
python,smart,random,random_n10_m20_s1,10,20,NA,7,0.430,48,0,3
cpp,smart,random,random_n10_m20_s1,10,20,NA,7,0.014,48,0,3
java,smart,random,random_n10_m20_s1,10,20,NA,7,3.420,48,0,3
python,brute,random,random_n10_m20_s2,10,20,NA,7,1.360,5756,0,1
cpp,brute,random,random_n10_m20_s2,10,20,NA,7,0.027,5756,0,1
java,brute,random,random_n10_m20_s2,10,20,NA,7,4.009,5756,0,1
python,brute,random,random_n10_m20_s2,10,20,NA,7,1.357,5756,0,2
cpp,brute,random,random_n10_m20_s2,10,20,NA,7,0.027,5756,0,2
java,brute,random,random_n10_m20_s2,10,20,NA,7,4.136,5756,0,2
python,brute,random,random_n10_m20_s2,10,20,NA,7,1.363,5756,0,3
cpp,brute,random,random_n10_m20_s2,10,20,NA,7,0.026,5756,0,3
java,brute,random,random_n10_m20_s2,10,20,NA,7,4.020,5756,0,3
python,smart,random,random_n10_m20_s2,10,20,NA,7,0.409,42,0,1
cpp,smart,random,random_n10_m20_s2,10,20,NA,7,0.013,42,0,1
java,smart,random,random_n10_m20_s2,10,20,NA,7,3.441,42,0,1
python,smart,random,random_n10_m20_s2,10,20,NA,7,0.400,42,0,2
cpp,smart,random,random_n10_m20_s2,10,20,NA,7,0.014,42,0,2
java,smart,random,random_n10_m20_s2,10,20,NA,7,3.421,42,0,2
python,smart,random,random_n10_m20_s2,10,20,NA,7,0.420,42,0,3
cpp,smart,random,random_n10_m20_s2,10,20,NA,7,0.014,42,0,3
java,smart,random,random_n10_m20_s2,10,20,NA,7,3.464,42,0,3
python,brute,random,random_n10_m20_s3,10,20,NA,8,2.395,10365,0,1
cpp,brute,random,random_n10_m20_s3,10,20,NA,8,0.045,10365,0,1
java,brute,random,random_n10_m20_s3,10,20,NA,8,4.102,10365,0,1
python,brute,random,random_n10_m20_s3,10,20,NA,8,2.389,10365,0,2
cpp,brute,random,random_n10_m20_s3,10,20,NA,8,0.046,10365,0,2
java,brute,random,random_n10_m20_s3,10,20,NA,8,4.148,10365,0,2
python,brute,random,random_n10_m20_s3,10,20,NA,8,2.394,10365,0,3
cpp,brute,random,random_n10_m20_s3,10,20,NA,8,0.045,10365,0,3
java,brute,random,random_n10_m20_s3,10,20,NA,8,4.045,10365,0,3
python,smart,random,random_n10_m20_s3,10,20,NA,8,0.233,23,0,1
cpp,smart,random,random_n10_m20_s3,10,20,NA,8,0.009,23,0,1
java,smart,random,random_n10_m20_s3,10,20,NA,8,3.322,23,0,1
python,smart,random,random_n10_m20_s3,10,20,NA,8,0.234,23,0,2
cpp,smart,random,random_n10_m20_s3,10,20,NA,8,0.009,23,0,2
java,smart,random,random_n10_m20_s3,10,20,NA,8,3.354,23,0,2
python,smart,random,random_n10_m20_s3,10,20,NA,8,0.229,23,0,3
cpp,smart,random,random_n10_m20_s3,10,20,NA,8,0.009,23,0,3
java,smart,random,random_n10_m20_s3,10,20,NA,8,3.341,23,0,3
python,brute,random,random_n10_m20_s4,10,20,NA,7,2.266,10102,0,1
cpp,brute,random,random_n10_m20_s4,10,20,NA,7,0.040,10102,0,1
java,brute,random,random_n10_m20_s4,10,20,NA,7,4.064,10102,0,1
python,brute,random,random_n10_m20_s4,10,20,NA,7,2.282,10102,0,2
cpp,brute,random,random_n10_m20_s4,10,20,NA,7,0.047,10102,0,2
java,brute,random,random_n10_m20_s4,10,20,NA,7,4.035,10102,0,2
python,brute,random,random_n10_m20_s4,10,20,NA,7,2.295,10102,0,3
cpp,brute,random,random_n10_m20_s4,10,20,NA,7,0.040,10102,0,3
java,brute,random,random_n10_m20_s4,10,20,NA,7,4.176,10102,0,3
python,smart,random,random_n10_m20_s4,10,20,NA,7,0.282,27,0,1
cpp,smart,random,random_n10_m20_s4,10,20,NA,7,0.011,27,0,1
java,smart,random,random_n10_m20_s4,10,20,NA,7,3.338,27,0,1
python,smart,random,random_n10_m20_s4,10,20,NA,7,0.274,27,0,2
cpp,smart,random,random_n10_m20_s4,10,20,NA,7,0.010,27,0,2
java,smart,random,random_n10_m20_s4,10,20,NA,7,3.404,27,0,2
python,smart,random,random_n10_m20_s4,10,20,NA,7,0.283,27,0,3
cpp,smart,random,random_n10_m20_s4,10,20,NA,7,0.011,27,0,3
java,smart,random,random_n10_m20_s4,10,20,NA,7,3.417,27,0,3
python,brute,random,random_n10_m40_s0,10,40,NA,9,90.331,443655,0,1
cpp,brute,random,random_n10_m40_s0,10,40,NA,9,2.000,443655,0,1
java,brute,random,random_n10_m40_s0,10,40,NA,9,11.397,443655,0,1
python,brute,random,random_n10_m40_s0,10,40,NA,9,95.211,443655,0,2
cpp,brute,random,random_n10_m40_s0,10,40,NA,9,1.983,443655,0,2
java,brute,random,random_n10_m40_s0,10,40,NA,9,11.334,443655,0,2
python,brute,random,random_n10_m40_s0,10,40,NA,9,89.382,443655,0,3
cpp,brute,random,random_n10_m40_s0,10,40,NA,9,1.979,443655,0,3
java,brute,random,random_n10_m40_s0,10,40,NA,9,11.397,443655,0,3
python,smart,random,random_n10_m40_s0,10,40,NA,9,0.408,40,0,1
cpp,smart,random,random_n10_m40_s0,10,40,NA,9,0.016,40,0,1
java,smart,random,random_n10_m40_s0,10,40,NA,9,3.445,40,0,1
python,smart,random,random_n10_m40_s0,10,40,NA,9,0.407,40,0,2
cpp,smart,random,random_n10_m40_s0,10,40,NA,9,0.016,40,0,2
java,smart,random,random_n10_m40_s0,10,40,NA,9,3.444,40,0,2
python,smart,random,random_n10_m40_s0,10,40,NA,9,0.405,40,0,3
cpp,smart,random,random_n10_m40_s0,10,40,NA,9,0.016,40,0,3
java,smart,random,random_n10_m40_s0,10,40,NA,9,3.463,40,0,3
python,brute,random,random_n10_m40_s1,10,40,NA,9,78.846,414800,0,1
cpp,brute,random,random_n10_m40_s1,10,40,NA,9,1.629,414800,0,1
java,brute,random,random_n10_m40_s1,10,40,NA,9,10.224,414800,0,1
python,brute,random,random_n10_m40_s1,10,40,NA,9,79.527,414800,0,2
cpp,brute,random,random_n10_m40_s1,10,40,NA,9,1.635,414800,0,2
java,brute,random,random_n10_m40_s1,10,40,NA,9,10.194,414800,0,2
python,brute,random,random_n10_m40_s1,10,40,NA,9,78.855,414800,0,3
cpp,brute,random,random_n10_m40_s1,10,40,NA,9,1.632,414800,0,3
java,brute,random,random_n10_m40_s1,10,40,NA,9,10.389,414800,0,3
python,smart,random,random_n10_m40_s1,10,40,NA,9,0.313,28,0,1
cpp,smart,random,random_n10_m40_s1,10,40,NA,9,0.013,28,0,1
java,smart,random,random_n10_m40_s1,10,40,NA,9,3.362,28,0,1
python,smart,random,random_n10_m40_s1,10,40,NA,9,0.307,28,0,2
cpp,smart,random,random_n10_m40_s1,10,40,NA,9,0.014,28,0,2
java,smart,random,random_n10_m40_s1,10,40,NA,9,3.294,28,0,2
python,smart,random,random_n10_m40_s1,10,40,NA,9,0.317,28,0,3
cpp,smart,random,random_n10_m40_s1,10,40,NA,9,0.013,28,0,3
java,smart,random,random_n10_m40_s1,10,40,NA,9,3.418,28,0,3
python,brute,random,random_n10_m40_s2,10,40,NA,9,92.568,495781,0,1
cpp,brute,random,random_n10_m40_s2,10,40,NA,9,2.071,495781,0,1
java,brute,random,random_n10_m40_s2,10,40,NA,9,11.613,495781,0,1
python,brute,random,random_n10_m40_s2,10,40,NA,9,92.766,495781,0,2
cpp,brute,random,random_n10_m40_s2,10,40,NA,9,2.074,495781,0,2
java,brute,random,random_n10_m40_s2,10,40,NA,9,12.249,495781,0,2
python,brute,random,random_n10_m40_s2,10,40,NA,9,92.350,495781,0,3
cpp,brute,random,random_n10_m40_s2,10,40,NA,9,2.090,495781,0,3
java,brute,random,random_n10_m40_s2,10,40,NA,9,11.581,495781,0,3
python,smart,random,random_n10_m40_s2,10,40,NA,9,0.253,22,0,1
cpp,smart,random,random_n10_m40_s2,10,40,NA,9,0.011,22,0,1
java,smart,random,random_n10_m40_s2,10,40,NA,9,3.360,22,0,1
python,smart,random,random_n10_m40_s2,10,40,NA,9,0.243,22,0,2
cpp,smart,random,random_n10_m40_s2,10,40,NA,9,0.011,22,0,2
java,smart,random,random_n10_m40_s2,10,40,NA,9,3.462,22,0,2
