lang,algo,family,instance,n,m,opt,k,time_ms,nodes,timed_out,replica
python,brute,random,random_n10_m10_s0,10,10,NA,7,0.212,704,0,1
cpp,brute,random,random_n10_m10_s0,10,10,NA,7,0.005,704,0,1
java,brute,random,random_n10_m10_s0,10,10,NA,7,3.353,704,0,1
python,brute,random,random_n10_m10_s0,10,10,NA,7,0.207,704,0,2
cpp,brute,random,random_n10_m10_s0,10,10,NA,7,0.005,704,0,2
java,brute,random,random_n10_m10_s0,10,10,NA,7,3.388,704,0,2
python,brute,random,random_n10_m10_s0,10,10,NA,7,0.212,704,0,3
cpp,brute,random,random_n10_m10_s0,10,10,NA,7,0.005,704,0,3
java,brute,random,random_n10_m10_s0,10,10,NA,7,3.355,704,0,3
python,smart,random,random_n10_m10_s0,10,10,NA,7,0.207,24,0,1
cpp,smart,random,random_n10_m10_s0,10,10,NA,7,0.008,24,0,1
java,smart,random,random_n10_m10_s0,10,10,NA,7,3.364,24,0,1
python,smart,random,random_n10_m10_s0,10,10,NA,7,0.219,24,0,2
cpp,smart,random,random_n10_m10_s0,10,10,NA,7,0.008,24,0,2
java,smart,random,random_n10_m10_s0,10,10,NA,7,3.332,24,0,2
python,smart,random,random_n10_m10_s0,10,10,NA,7,0.213,24,0,3
cpp,smart,random,random_n10_m10_s0,10,10,NA,7,0.008,24,0,3
java,smart,random,random_n10_m10_s0,10,10,NA,7,3.270,24,0,3
python,brute,random,random_n10_m10_s1,10,10,NA,5,0.094,303,0,1
cpp,brute,random,random_n10_m10_s1,10,10,NA,5,0.003,303,0,1
java,brute,random,random_n10_m10_s1,10,10,NA,5,3.198,303,0,1
python,brute,random,random_n10_m10_s1,10,10,NA,5,0.096,303,0,2
cpp,brute,random,random_n10_m10_s1,10,10,NA,5,0.003,303,0,2
java,brute,random,random_n10_m10_s1,10,10,NA,5,3.114,303,0,2
python,brute,random,random_n10_m10_s1,10,10,NA,5,0.098,303,0,3
cpp,brute,random,random_n10_m10_s1,10,10,NA,5,0.003,303,0,3
