lang,algo,family,instance,n,m,opt,k,time_ms,nodes,timed_out,replica
python,smart,hard,hard_n156_m8346_s2,156,8346,NA,NA,60000,NA,1,2
python,smart,hard,hard_n156_m8346_s2,156,8346,NA,NA,60000,NA,1,3
cpp,smart,hard,hard_n156_m8346_s2,156,8346,NA,NA,60000,NA,1,1
cpp,smart,hard,hard_n156_m8346_s2,156,8346,NA,NA,60000,NA,1,2
cpp,smart,hard,hard_n156_m8346_s2,156,8346,NA,NA,60000,NA,1,3
java,smart,hard,hard_n156_m8346_s2,156,8346,NA,NA,60000,NA,1,1
java,smart,hard,hard_n156_m8346_s2,156,8346,NA,NA,60000,NA,1,2
java,smart,hard,hard_n156_m8346_s2,156,8346,NA,NA,60000,NA,1,3
python,smart,hard,hard_n156_m8346_s3,156,8346,NA,NA,60000,NA,1,1
python,smart,hard,hard_n156_m8346_s3,156,8346,NA,NA,60000,NA,1,2
python,smart,hard,hard_n156_m8346_s3,156,8346,NA,NA,60000,NA,1,3
cpp,smart,hard,hard_n156_m8346_s3,156,8346,NA,NA,60000,NA,1,1
cpp,smart,hard,hard_n156_m8346_s3,156,8346,NA,NA,60000,NA,1,2
cpp,smart,hard,hard_n156_m8346_s3,156,8346,NA,NA,60000,NA,1,3
java,smart,hard,hard_n156_m8346_s3,156,8346,NA,NA,60000,NA,1,1
java,smart,hard,hard_n156_m8346_s3,156,8346,NA,NA,60000,NA,1,2
java,smart,hard,hard_n156_m8346_s3,156,8346,NA,NA,60000,NA,1,3
python,smart,hard,hard_n156_m8346_s4,156,8346,NA,NA,60000,NA,1,1
python,smart,hard,hard_n156_m8346_s4,156,8346,NA,NA,60000,NA,1,2
python,smart,hard,hard_n156_m8346_s4,156,8346,NA,NA,60000,NA,1,3
cpp,smart,hard,hard_n156_m8346_s4,156,8346,NA,NA,60000,NA,1,1
cpp,smart,hard,hard_n156_m8346_s4,156,8346,NA,NA,60000,NA,1,2
cpp,smart,hard,hard_n156_m8346_s4,156,8346,NA,NA,60000,NA,1,3
java,smart,hard,hard_n156_m8346_s4,156,8346,NA,NA,60000,NA,1,1
java,smart,hard,hard_n156_m8346_s4,156,8346,NA,NA,60000,NA,1,2
