lang,algo,family,instance,n,m,opt,k,time_ms,nodes,timed_out,replica
java,smart,random,random_n30_m240_s2,30,240,NA,30,18.574,8278,0,3
python,smart,random,random_n30_m240_s3,30,240,NA,30,92.759,2542,0,1
cpp,smart,random,random_n30_m240_s3,30,240,NA,30,1.750,2542,0,1
java,smart,random,random_n30_m240_s3,30,240,NA,30,10.031,2542,0,1
python,smart,random,random_n30_m240_s3,30,240,NA,30,93.892,2542,0,2
cpp,smart,random,random_n30_m240_s3,30,240,NA,30,1.748,2542,0,2
java,smart,random,random_n30_m240_s3,30,240,NA,30,10.147,2542,0,2
python,smart,random,random_n30_m240_s3,30,240,NA,30,90.959,2542,0,3
cpp,smart,random,random_n30_m240_s3,30,240,NA,30,1.744,2542,0,3
java,smart,random,random_n30_m240_s3,30,240,NA,30,9.957,2542,0,3
python,smart,random,random_n30_m240_s4,30,240,NA,30,477.881,13687,0,1
cpp,smart,random,random_n30_m240_s4,30,240,NA,30,9.164,13687,0,1
java,smart,random,random_n30_m240_s4,30,240,NA,30,28.340,13687,0,1
python,smart,random,random_n30_m240_s4,30,240,NA,30,477.610,13687,0,2
cpp,smart,random,random_n30_m240_s4,30,240,NA,30,9.207,13687,0,2
java,smart,random,random_n30_m240_s4,30,240,NA,30,30.033,13687,0,2
python,smart,random,random_n30_m240_s4,30,240,NA,30,479.892,13687,0,3
cpp,smart,random,random_n30_m240_s4,30,240,NA,30,9.230,13687,0,3
java,smart,random,random_n30_m240_s4,30,240,NA,30,28.659,13687,0,3
python,smart,random,random_n30_m480_s0,30,480,NA,30,10.426,301,0,1
cpp,smart,random,random_n30_m480_s0,30,480,NA,30,0.213,301,0,1
java,smart,random,random_n30_m480_s0,30,480,NA,30,6.435,301,0,1
python,smart,random,random_n30_m480_s0,30,480,NA,30,10.469,301,0,2
cpp,smart,random,random_n30_m480_s0,30,480,NA,30,0.220,301,0,2
java,smart,random,random_n30_m480_s0,30,480,NA,30,6.391,301,0,2
python,smart,random,random_n30_m480_s0,30,480,NA,30,10.807,301,0,3
cpp,smart,random,random_n30_m480_s0,30,480,NA,30,0.214,301,0,3
java,smart,random,random_n30_m480_s0,30,480,NA,30,6.592,301,0,3
python,smart,random,random_n30_m480_s1,30,480,NA,30,4.444,145,0,1
cpp,smart,random,random_n30_m480_s1,30,480,NA,30,0.102,145,0,1
java,smart,random,random_n30_m480_s1,30,480,NA,30,4.738,145,0,1
python,smart,random,random_n30_m480_s1,30,480,NA,30,4.461,145,0,2
cpp,smart,random,random_n30_m480_s1,30,480,NA,30,0.102,145,0,2
java,smart,random,random_n30_m480_s1,30,480,NA,30,4.611,145,0,2
python,smart,random,random_n30_m480_s1,30,480,NA,30,4.693,145,0,3
cpp,smart,random,random_n30_m480_s1,30,480,NA,30,0.101,145,0,3
java,smart,random,random_n30_m480_s1,30,480,NA,30,4.678,145,0,3
python,smart,random,random_n30_m480_s2,30,480,NA,30,7.072,223,0,1
cpp,smart,random,random_n30_m480_s2,30,480,NA,30,0.152,223,0,1
java,smart,random,random_n30_m480_s2,30,480,NA,30,5.390,223,0,1
python,smart,random,random_n30_m480_s2,30,480,NA,30,7.049,223,0,2
cpp,smart,random,random_n30_m480_s2,30,480,NA,30,0.150,223,0,2
java,smart,random,random_n30_m480_s2,30,480,NA,30,5.514,223,0,2
python,smart,random,random_n30_m480_s2,30,480,NA,30,7.100,223,0,3
cpp,smart,random,random_n30_m480_s2,30,480,NA,30,0.152,223,0,3
java,smart,random,random_n30_m480_s2,30,480,NA,30,6.120,223,0,3
python,smart,random,random_n30_m480_s3,30,480,NA,30,4.609,137,0,1
cpp,smart,random,random_n30_m480_s3,30,480,NA,30,0.104,137,0,1
java,smart,random,random_n30_m480_s3,30,480,NA,30,4.750,137,0,1
python,smart,random,random_n30_m480_s3,30,480,NA,30,4.570,137,0,2
cpp,smart,random,random_n30_m480_s3,30,480,NA,30,0.102,137,0,2
java,smart,random,random_n30_m480_s3,30,480,NA,30,4.730,137,0,2
python,smart,random,random_n30_m480_s3,30,480,NA,30,4.581,137,0,3
cpp,smart,random,random_n30_m480_s3,30,480,NA,30,0.102,137,0,3
java,smart,random,random_n30_m480_s3,30,480,NA,30,4.556,137,0,3
python,smart,random,random_n30_m480_s4,30,480,NA,30,6.190,201,0,1
cpp,smart,random,random_n30_m480_s4,30,480,NA,30,0.143,201,0,1
java,smart,random,random_n30_m480_s4,30,480,NA,30,5.167,201,0,1
python,smart,random,random_n30_m480_s4,30,480,NA,30,6.129,201,0,2
cpp,smart,random,random_n30_m480_s4,30,480,NA,30,0.133,201,0,2
java,smart,random,random_n30_m480_s4,30,480,NA,30,5.338,201,0,2
python,smart,random,random_n30_m480_s4,30,480,NA,30,6.186,201,0,3
cpp,smart,random,random_n30_m480_s4,30,480,NA,30,0.130,201,0,3
java,smart,random,random_n30_m480_s4,30,480,NA,30,5.323,201,0,3
python,smart,random,random_n30_m60_s0,30,60,NA,21,206.141,8502,0,1
cpp,smart,random,random_n30_m60_s0,30,60,NA,21,2.936,8502,0,1
java,smart,random,random_n30_m60_s0,30,60,NA,21,13.172,8502,0,1
python,smart,random,random_n30_m60_s0,30,60,NA,21,199.023,8502,0,2
cpp,smart,random,random_n30_m60_s0,30,60,NA,21,2.960,8502,0,2
java,smart,random,random_n30_m60_s0,30,60,NA,21,12.963,8502,0,2
python,smart,random,random_n30_m60_s0,30,60,NA,21,198.646,8502,0,3
cpp,smart,random,random_n30_m60_s0,30,60,NA,21,2.961,8502,0,3
java,smart,random,random_n30_m60_s0,30,60,NA,21,13.009,8502,0,3
python,smart,random,random_n30_m60_s1,30,60,NA,21,307.730,12970,0,1
cpp,smart,random,random_n30_m60_s1,30,60,NA,21,4.395,12970,0,1
java,smart,random,random_n30_m60_s1,30,60,NA,21,17.110,12970,0,1
python,smart,random,random_n30_m60_s1,30,60,NA,21,305.578,12970,0,2
cpp,smart,random,random_n30_m60_s1,30,60,NA,21,4.408,12970,0,2
java,smart,random,random_n30_m60_s1,30,60,NA,21,17.144,12970,0,2
python,smart,random,random_n30_m60_s1,30,60,NA,21,294.461,12970,0,3
cpp,smart,random,random_n30_m60_s1,30,60,NA,21,4.403,12970,0,3
java,smart,random,random_n30_m60_s1,30,60,NA,21,17.572,12970,0,3
python,smart,random,random_n30_m60_s2,30,60,NA,19,63.909,2780,0,1
cpp,smart,random,random_n30_m60_s2,30,60,NA,19,0.956,2780,0,1
java,smart,random,random_n30_m60_s2,30,60,NA,19,7.957,2780,0,1
python,smart,random,random_n30_m60_s2,30,60,NA,19,65.009,2780,0,2
cpp,smart,random,random_n30_m60_s2,30,60,NA,19,0.955,2780,0,2
java,smart,random,random_n30_m60_s2,30,60,NA,19,10.143,2780,0,2
python,smart,random,random_n30_m60_s2,30,60,NA,19,63.367,2780,0,3
cpp,smart,random,random_n30_m60_s2,30,60,NA,19,0.970,2780,0,3
java,smart,random,random_n30_m60_s2,30,60,NA,19,7.962,2780,0,3
python,smart,random,random_n30_m60_s3,30,60,NA,20,43.349,2104,0,1
cpp,smart,random,random_n30_m60_s3,30,60,NA,20,0.718,2104,0,1
java,smart,random,random_n30_m60_s3,30,60,NA,20,7.350,2104,0,1
python,smart,random,random_n30_m60_s3,30,60,NA,20,43.901,2104,0,2
cpp,smart,random,random_n30_m60_s3,30,60,NA,20,0.699,2104,0,2
java,smart,random,random_n30_m60_s3,30,60,NA,20,7.309,2104,0,2
python,smart,random,random_n30_m60_s3,30,60,NA,20,43.675,2104,0,3
cpp,smart,random,random_n30_m60_s3,30,60,NA,20,0.705,2104,0,3
java,smart,random,random_n30_m60_s3,30,60,NA,20,7.297,2104,0,3
python,smart,random,random_n30_m60_s4,30,60,NA,18,2142.928,119509,0,1
cpp,smart,random,random_n30_m60_s4,30,60,NA,18,33.101,119509,0,1
java,smart,random,random_n30_m60_s4,30,60,NA,18,98.364,119509,0,1
python,smart,random,random_n30_m60_s4,30,60,NA,18,2120.988,119509,0,2
cpp,smart,random,random_n30_m60_s4,30,60,NA,18,33.108,119509,0,2
java,smart,random,random_n30_m60_s4,30,60,NA,18,92.015,119509,0,2
python,smart,random,random_n30_m60_s4,30,60,NA,18,2142.877,119509,0,3
cpp,smart,random,random_n30_m60_s4,30,60,NA,18,33.233,119509,0,3
java,smart,random,random_n30_m60_s4,30,60,NA,18,89.285,119509,0,3
python,smart,random,random_n50_m100_s0,50,100,NA,36,3219.197,68516,0,1
